ID,ETA
000V4BQX,0
003WBC5J,0
004O4X3A,0
006CEI5B,0
009G0M2T,0
00A3ZHHB,0
00BRKED8,0
00F6T3BP,0
00HN6E8I,0
00HS3XXF,0
00I2LQXB,0
00L8B0SE,0
00OWTXZD,0
00PNEC3Z,0
00R4O0RU,0
00UN3NTN,0
00VNR98C,0
00WNC10D,0
00XN24ZZ,0
00XUV5ZA,0
00XYODZY,0
00Y55WG1,0
00Z2KCDZ,0
00ZZRLPD,0
010YSNCO,0
012RRJ0R,0
012V36NR,0
014PL5HN,0
017DQTZ5,0
019LKXYD,0
01BFEF3D,0
01F3EMGD,0
01F56BTX,0
01F5WFIJ,0
01HMMFP3,0
01IHFY2V,0
01JM9RTG,0
01KDGA66,0
01KUEVC1,0
01LFCY6Z,0
01LZ4P3C,0
01M0W4B4,0
01MEWIXE,0
01NBG1SI,0
01O3DI4E,0
01OZ7SN8,0
01P9UDI0,0
01QFQ7LR,0
01QH2MKZ,0
01QVEQBG,0
01T7QMDR,0
01V9XYE3,0
01VG75BO,0
01VGB3CZ,0
01VQFSVE,0
021D1H50,0
024IZALO,0
025SHTKR,0
02C4QT1S,0
02DLUXW8,0
02DVTSHX,0
02GRBULM,0
02HQP80U,0
02IIEJ0Y,0
02OAKS3W,0
02PE735S,0
02RVJ3NX,0
02YGVXX0,0
02Z6J93C,0
02ZBMA6T,0
030W4UC5,0
031BTSPP,0
0345CSH2,0
035KDW25,0
0370TUOH,0
037DEX64,0
0385UYE7,0
0394NO1C,0
03B57WF0,0
03D0CZ12,0
03DV7DSY,0
03F9MKMS,0
03FFU7QC,0
03FT8UJ5,0
03GIAKYC,0
03GSIPUW,0
03H42QBA,0
03HEO6XD,0
03HUWDQT,0
03I2XAUZ,0
03P3BRWX,0
03R3QV2D,0
03SQRSGA,0
03SQX4SO,0
03T7B0MV,0
03U3P3FB,0
03Y93852,0
03ZJ8ZHS,0
03ZJ8ZJA,0
0410QY1K,0
04203XSD,0
04297MV1,0
043KMKMQ,0
043LIIF0,0
045FUDR0,0
